Brand,Price,Color,Condition,GPU,Processor Speed,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
dell,79,other,Used,other,2.3,windows,hdd/ssd,250,250,14,4
dell,73,other,Used,other,2.1,windows,hdd/ssd,500,500,14,8
dell,149,silver,Used,intel,2,windows,ssd,0,128,14,4
lenovo,500,black,New,amd,2.3,windows,hdd/ssd,256,256,14,16
asus,70,black,Used,intel,2.5,windows,hdd,750,0,15.6,6
lg,990,black,Used,intel,2.9,windows,ssd,0,1000,17,16
acer,230,gray,Used,intel,1.8,chrome,hdd/ssd,16,128,13.5,16
acer,118.1,other,Used,other,2.3,windows,ssd,0,128,12,4
lenovo,320,gray,Used,intel,1,windows,hdd/ssd,512,512,14,16
hp,75,other,Used,other,1.6,windows,hdd,320,0,14,4
dell,350,gray,Used,intel,1.9,windows,ssd,0,512,14,16
dell,399,other,Used,other,2.7,unknown,hdd/ssd,512,512,17.3,16
hp,100,gray,Used,intel,2.5,windows,hdd/ssd,500,500,15.6,8
hp,200,silver,Used,intel,1.7,chrome,hdd/ssd,64,64,14,8
dell,115,black,Used,intel,2.3,windows,hdd/ssd,256,256,15.6,8
dell,399,black,Used,intel,1.7,unknown,hdd/ssd,512,512,14,32
microsoft,93,silver,Used,other,2.6,windows,hdd/ssd,128,128,13.5,8
hp,180,black,Used,other,2.4,windows,ssd,0,256,14,8
microsoft,725,other,Very Good - Refurbished,other,1.3,windows,ssd,0,256,13.5,16
dell,29.89,black,Used,other,1.6,chrome,hdd/ssd,16,16,11.6,4
hp,184.1,other,Used,other,2.7,windows,ssd,0,256,15.6,8
hp,157.8,purple,Used,intel,2.6,windows,hdd/ssd,500,500,15.6,16
samsung,48,silver,Used,other,2.16,chrome,hdd/ssd,2,16,11.6,16
dell,93,black,Used,intel,1.1,windows,hdd/ssd,64,64,11.6,4
dell,235,black,Used,nvidia,2.7,windows,ssd,0,512,15.6,16
lenovo,52,black,Used,other,1.6,linux,hdd/ssd,16,16,11.6,4
lenovo,420,black,Used,amd,2.3,windows,hdd/ssd,256,256,14,16
samsung,40.47,black,Used,intel,2.5,chrome,hdd/ssd,16,16,11.6,4
dell,89,silver,Used,other,2.66,windows,hdd,500,0,14.1,4
hp,172,silver,Used,intel,1.9,windows,hdd/ssd,256,256,14,8
lenovo,268,black,Very Good - Refurbished,nvidia,2.4,windows,ssd,0,512,15.6,16
microsoft,259.8,silver,Used,intel,1.5,windows,hdd/ssd,256,256,13.5,8
dell,879,gray,Used,nvidia,2.8,windows,ssd,0,1000,17.3,64
hp,450,silver,Open box,amd,2.6,windows,ssd,0,256,14,16
lenovo,60,gray,Used,amd,1.6,chrome,ssd,0,32,14,4
dell,885,black,Used,intel,1.1,unknown,hdd/ssd,128,128,11.6,4
dell,140,black,Used,intel,2.3,windows,hdd/ssd,8,500,14,8
dell,323,other,Used,intel,2.6,windows,ssd,0,512,14,16
lenovo,210,black,Open box,amd,2.5,windows,ssd,0,128,14,8
dell,240,black,Excellent - Refurbished,intel,1.7,windows,hdd/ssd,500,500,14,32
dell,190.8,other,Used,other,1.7,windows,ssd,0,256,15.6,8
lenovo,230,black,Used,other,2.5,unknown,hdd/ssd,500,500,15.6,4
lenovo,215,beige,Used,intel,1.2,windows,ssd,0,512,15.6,12
acer,79.1,other,Used,nvidia,2.3,windows,hdd,720,0,15.6,8
dell,599,black,New,intel,2.4,windows,hdd/ssd,1000,1000,15.6,16
hp,226.5,silver,Used,intel,1.8,windows,ssd,0,500,15.6,16
acer,105.06,other,Used,other,1.6,windows,ssd,0,128,14,8
